station_key,direction_label,month_name,time_of_day,is_weekend,functional_class,aadt_band,station_type,avg_forecast,max_forecast,avg_lower,avg_upper,avg_reliability,avg_interval_width,prediction_count
STN_0001,Northbound,June,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,606.02,606.02,197.82,1080.24,0.55,882.4200000000001,2
STN_0001,Northbound,June,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),169.43,169.43,77.05,280.71,0.5,203.65999999999997,1
STN_0001,Northbound,June,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),68.11125,123.05,5.175000000000001,120.705,0.38875,115.53,8
STN_0001,Northbound,June,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),91.44,113.64,4.52,181.21,0.4083333333333334,176.68999999999997,6
STN_0001,Northbound,March,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),237.6818181818182,391.84,88.41454545454546,381.8836363636364,0.44909090909090904,293.4690909090909,11
STN_0001,Northbound,March,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),411.80999999999995,457.34,202.79,613.8,0.5,411.01,2
STN_0001,Northbound,March,Evening Rush (3pm-7pm),Weekday,Other Principal Arterials,10k-25k,Established Station,844.82,955.4,510.712,1099.682,0.55,588.97,5
STN_0001,Northbound,March,Evening Rush (3pm-7pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),712.77,712.77,431.8,1035.67,0.5,603.8700000000001,1
STN_0001,Northbound,March,Midday (10am-3pm),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),704.1690000000001,812.46,368.256,935.1039999999999,0.5,566.848,10
STN_0001,Northbound,March,Midday (10am-3pm),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),718.4375,761.76,417.47,1041.74,0.5,624.2700000000001,4
STN_0001,Northbound,March,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,Established Station,743.7242857142857,800.25,373.0128571428572,1014.9514285714286,0.55,641.9385714285715,7
STN_0001,Northbound,March,Morning Rush (6am-10am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),535.33,535.33,164.62,806.56,0.5,641.9399999999999,1
STN_0001,Northbound,March,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,Established Station,321.225,356.22,120.275,553.555,0.55,433.28,2
STN_0001,Northbound,March,Morning Rush (6am-10am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),178.68,178.68,86.3,289.96,0.5,203.65999999999997,1
STN_0001,Northbound,March,Night (12am-6am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),76.62785714285714,257.01,8.769285714285715,139.17214285714286,0.4007142857142857,130.40285714285716,14
STN_0001,Northbound,March,Night (12am-6am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),67.28666666666668,116.38,1.38,143.44,0.38666666666666666,142.06,9
STN_0001,Northbound,May,Evening (7pm-12am),Weekday,Other Principal Arterials,10k-25k,New Station (Cold-Start),331.425,575.82,153.57833333333332,494.92333333333335,0.45999999999999996,341.345,6
STN_0001,Northbound,May,Evening (7pm-12am),Weekend,Other Principal Arterials,10k-25k,New Station (Cold-Start),248.43,248.43,57.47,476.76,0.42,419.28999999999996,2
